time,goodput
0,-8
1,56
2,56
3,88
4,64
5,64
6,64
7,64
8,64
9,72
10,64
11,72
12,64
13,72
14,64
15,72
16,64
17,64
18,64
19,64
20,64
21,72
22,64
23,72
24,64
25,72
26,64
27,72
28,64
29,64
30,64
31,64
32,64
33,72
34,64
35,72
36,64
37,72
38,64
39,72
40,64
41,64
42,64
43,64
44,64
45,72
46,64
47,72
48,64
49,72
50,64
51,72
52,64
53,64
54,64
55,64
56,64
57,72
58,64
59,72
60,64
61,72
62,64
63,72
64,64
65,64
66,64
67,64
68,64
69,72
70,64
71,72
72,64
73,72
74,64
75,72
76,64
77,64
78,64
79,64
80,64
81,72
82,64
83,72
84,64
85,72
86,64
87,72
88,64
89,64
90,64
91,64
92,64
93,72
94,64
95,72
96,64
97,72
98,64
99,72
100,64
101,64
102,64
103,64
104,64
105,72
106,64
107,72
108,64
109,72
110,64
111,72
112,64
113,64
114,64
115,64
116,64
117,72
118,64
119,72
120,64
121,72
122,64
123,72
124,64
125,64
126,64
127,64
128,64
129,72
130,64
131,72
132,64
133,72
134,64
135,72
136,64
137,64
138,64
139,64
140,64
141,72
142,64
143,72
144,64
145,72
146,64
147,72
148,64
149,64
150,64
151,64
152,64
153,72
154,64
155,72
156,64
157,72
158,64
159,72
160,64
161,64
162,64
163,64
164,64
165,72
166,64
167,72
168,64
169,72
170,64
171,72
172,64
173,64
174,64
175,64
176,64
177,72
178,64
179,72
180,64
181,72
182,64
183,72
184,64
185,64
186,64
187,64
188,64
189,72
190,64
191,72
192,64
193,72
194,64
195,72
196,64
197,64
198,64
199,64
200,64
201,72
202,64
203,72
204,64
205,72
206,64
207,72
208,64
209,64
210,64
211,64
212,64
213,72
214,64
215,72
216,64
217,72
218,64
219,72
220,64
221,64
222,64
223,64
224,64
225,72
226,64
227,72
228,64
229,72
230,64
231,72
232,64
233,64
234,64
235,64
236,64
237,72
238,64
239,72
240,64
241,72
242,64
243,72
244,64
245,64
246,64
247,64
248,64
249,72
250,64
251,72
252,64
253,72
254,64
255,72
256,64
257,64
258,64
259,64
260,64
261,72
262,64
263,72
264,64
265,72
266,64
267,72
268,64
269,64
270,64
271,64
272,64
273,72
274,64
275,72
276,64
277,72
278,64
279,72
280,64
281,64
282,64
283,64
284,64
285,72
286,64
287,72
288,64
289,72
290,64
291,72
292,64
293,64
294,64
295,64
296,64
297,72
298,64
299,72
300,64
301,72
302,64
303,72
304,64
305,64
306,64
307,64
308,64
309,72
310,64
311,72
312,64
313,72
314,64
315,72
316,64
317,64
318,64
319,64
320,64
321,72
322,64
323,72
324,64
325,72
326,64
327,72
328,64
329,64
330,64
331,64
332,64
333,72
334,64
335,72
336,64
337,72
338,64
339,72
340,64
341,64
342,64
343,64
344,64
345,72
346,64
347,72
348,64
349,72
350,64
351,72
352,64
353,64
354,64
355,64
356,64
357,72
358,64
359,72
360,64
361,72
362,64
363,72
364,64
365,64
366,64
367,64
368,64
369,72
370,64
371,72
372,64
373,72
374,64
375,72
376,64
377,64
378,64
379,64
380,64
381,72
382,64
383,72
384,64
385,72
386,64
387,72
388,64
389,64
390,64
391,64
392,64
393,72
394,64
395,72
396,64
397,72
398,64
399,72
400,64
401,64
402,64
403,64
404,64
405,72
406,64
407,72
408,64
409,72
410,64
411,72
412,64
413,64
414,64
415,64
416,64
417,72
418,64
419,72
420,64
421,72
422,64
423,72
424,64
425,64
426,64
427,64
428,64
429,72
430,64
431,72
432,64
433,72
434,64
435,72
436,64
437,64
438,64
439,64
440,64
441,72
442,64
443,72
444,64
445,72
446,64
447,72
448,64
449,64
450,64
451,64
452,64
453,72
454,64
455,72
456,64
457,72
458,64
459,72
460,64
461,64
462,64
463,64
464,64
465,72
466,64
467,72
468,64
469,72
470,64
471,72
472,64
473,64
474,64
475,64
